"","unique_id","date_announced","date_start","date_end","type","type_sub_cat","description","country","enforcer","target_geog_level","init_country_level","link","province"
"1001","NB001",NA,2020-03-02,"2020-03-06",NA,NA,"Who: Department of Education and Early Childhood Development
What: Spring breaks in N.B. regions follow the same schedule.
Effective until: 2020-03-06","Canada","Department of Education and Early Childhood Development","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/departments/education/k12/content/calendar.html","New Brunswick"
"1002","NB002",2020-03-05,2020-03-05,NA,"Quarantine",NA,"Who: Government of New Brunswick, Chief Medical Officer of Health
What: Travellers returning to N.B. from outside Canada are required to self-monitor for symptoms for 14 days.
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0088.html","New Brunswick"
"1003","NB003",2020-03-11,2020-03-11,NA,"Social Distancing",NA,"Who: Government of New Brunswick, Chief Medical Officer of Health
What: Restricted long-term care visitors with any symptoms and/or recent international travel.
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0108.html","New Brunswick"
"1004","NB004-mass_gatherings",2020-03-12,2020-03-12,"2020-03-19","Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Government of New Brunswick, Chief Medical Officer of Health
What: Prohibited non-essential gatherings of more than 150 people. Social gatherings such as sports leagues recommended to be cancelled.
Effective until: 2020-03-19","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0114.html","New Brunswick"
"1005","NB005",2020-03-12,2020-03-12,NA,"Social Distancing",NA,"Who: Horizon Health Network
What: Suspended visitors in acute care facilities except for palliative care, intensive care, critical care and neonatal intensive care, obstetrics and pediatrics, discharge, pediatric patients or emergency department support, for which 1 visitor is permitted.
Effective until:","Canada","Horizon Health Network","Other (e.g., county)","Provincial","https://en.horizonnb.ca/home/patients-and-visitors/coronavirus-(covid-19)/covid-19-visitor-restrictions-at-hospitals-and-health-care-facilities.aspx","New Brunswick"
"1006","NB006",2020-03-13,2020-03-13,"2020-03-15","Social Distancing",NA,"Who: Vitalité Health Network 
What: Restricted hospital visitors to 2 visitors per patient, immediate family or designated care providers only
Effective until: 2020-03-15","Canada","Vitalité Health Network","Other (e.g., county)","Provincial","https://www.vitalitenb.ca/en/news/covid-19-patient-visits-restricted","New Brunswick"
"1007","NB007",2020-03-15,2020-03-15,NA,"Social Distancing",NA,"Who: Vitalité Health Network 
What: Amended restrictions to hospital visitation — total ban except for palliative care, obstetric and pediatric (including child psychiatry) units (1 permitted)
Effective until:","Canada","Vitalité Health Network","Other (e.g., county)","Provincial","https://www.vitalitenb.ca/en/news/covid-19-complete-ban-patient-visits","New Brunswick"
"1008","NB008",2020-03-13,2020-03-16,"2020-03-29","Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below), Secondary Schools (generally for children ages 10 to 18), Higher education institutions (i.e. degree granting institutions)","Who: Department of Education and Early Childhood Development
What: Closure of elementary, middle and high schools
Effective until: 2020-03-29","Canada","Department of Education and Early Childhood Development","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0121.html","New Brunswick"
"1009","NB009",2020-03-16,2020-03-16,NA,"Health Resources","Other Health Infrastructure","Who: Horizon Health Network
What: Announcing opening of new assessment sites to offload emergency room
Effective until:","Canada","Horizon Health Network","Other (e.g., county)","Provincial","https://en.horizonnb.ca/home/patients-and-visitors/coronavirus-(covid-19)/covid-19-community-assessment-centres-by-appointment.aspx, https://globalnews.ca/news/6685201/n-b-implementing-covid-19-assessment-centres-to-reduce-er-visits/","New Brunswick"
"1010","NB010",2020-03-16,2020-03-16,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)","Who: Government of New Brunswick, Chief Medical Officer of Health
What: Child care centres to close with exception of those for essential health care workers
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0127.html","New Brunswick"
"1011","NB011",2020-03-16,2020-03-16,NA,"Restriction and Regulation of Businesses",NA,"Who: Government of New Brunswick, Chief Medical Officer of Health
What: Recommended private companies allow employees to work from home where possible and focus on critical activities
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0127.html","New Brunswick"
"1012","NB012",2020-03-16,2020-03-16,NA,"Health Resources","Other Health Infrastructure","Who: Horizon Health Network and Vitalité Health Network
What: Elective procedures cancelled and postponed. No mandate found on provincial site.
Effective until:","Canada","Horizon Health Network and Vitalité Health Network","Other (e.g., county)","Provincial","https://en.horizonnb.ca/home/patients-and-visitors/coronavirus-(covid-19)/covid-19-cancellation-of-elective-surgeries-and-ambulatory-care-clinics.aspx, https://www.vitalitenb.ca/en/news/covid-19-reduction-patient-services","New Brunswick"
"1013","NB013-business",2020-03-16,2020-03-17,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Government of New Brunswick, Chief Medical Officer of Health
What: All non-essential government services closed
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0128.html","New Brunswick"
"1014","NB015-health_res",2020-03-19,2020-03-19,NA,"Health Resources or Restriction and Regulation of Businesses",NA,"Who: Government of New Brunswick, Office of the Chief Medical Officer of Health 
What: Announced that regulated health professions only to provide emergency or urgent care. Non-regulated health professions must close. This excludes home support workers. 
Effective until:","Canada","Government of New Brunswick, Office of the Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0139.html, https://www2.gnb.ca/content/dam/gnb/Corporate/pdf/EmergencyUrgence19.pdf","New Brunswick"
"1015","NB016",2020-03-19,2020-03-19,"2020-03-26","Declaration of Emergency",NA,"Who: Government of New Brunswick
What: Declared a provincial state of emergency
Effective until: 2020-03-26","Canada","Government of New Brunswick","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0139.html","New Brunswick"
"1016","NB017",2020-03-19,2020-03-19,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below), Secondary Schools (generally for children ages 10 to 18), Higher education institutions (i.e. degree granting institutions)","Who: Office of the Premier, Government of New Brunswick
What: Closure of post-secondary education institutions. Institutions that have students in residence are permitted to allow them to remain in residence until they can safely return home. Online course delivery may continue.
Effective until:","Canada","Office of the Premier, Government of New Brunswick","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0139.html","New Brunswick"
"1017","NB018-mass_gatherings",2020-03-19,2020-03-19,NA,"Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Government of New Brunswick, Chief Medical Officer of Health
What: Businesses asked to take all reasonable steps to avoid gatherings of more than 10 people. Not formally prohibited.
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0139.html","New Brunswick"
"1018","NB019-business",2020-03-19,2020-03-19,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Office of the Premier, Government of New Brunswick
What: Restricted food and beverage services to takeout and delivery only. Closed barbers, hair stylists and esthetics service providers.
Effective until:","Canada","Office of the Premier, Government of New Brunswick","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0139.html","New Brunswick"
"1019","NB020-business",2020-03-16,2020-03-17,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Office of the Premier, Government of New Brunswick
What: Ordered closures of some private businesses and public spaces, including swimming pools, spas, saunas, waterparks, gymnasiums, yoga studios, dance studios, rinks and arenas, tennis courts, soccer and baseball fields, climbing walls, escape rooms, ski hills, golf courses, arcades, amusement centres, pool halls, bowling alleys, casinos, cinemas, libraries, museums, zoos, aquariums, sugar bush operations, and theatres or other live performance venues
Effective until:","Canada","Office of the Premier, Government of New Brunswick","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0127.html","New Brunswick"
"1020","NB021-business",2020-03-19,2020-03-19,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Department of Tourism, Heritage and Culture
What: Closed provincial parks until further notice, following federal government decision for national parks
Effective until:","Canada","Department of Tourism, Heritage and Culture","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0138.html","New Brunswick"
"1021","NB022",2020-03-20,2020-03-20,NA,"Health Testing","Other Health Testing","Who: Government of New Brunswick, Chief Medical Officer of Health
What: Launched a self-assessment online tool
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0144.html","New Brunswick"
"1022","NB025",2020-03-25,2020-03-25,NA,"Quarantine",NA,"Who: Office of the Premier
What: Travellers returning to N.B. from outside N.B. are required to self-isolate for 14 days. 
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0155.html","New Brunswick"
"1023","NB027",2020-03-27,2020-03-27,NA,"Health Testing",NA,"Who: Office of the Premier
What: Testing criteria expanded to include health care workers who have not travelled but have developed cough, fever or shortness of breath
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0159.html","New Brunswick"
"1024","NB029",2020-03-30,2020-03-30,NA,"Health Testing",NA,"Who: Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health
What: Further changes to testing criteria to focus on symptomatic health care workers and prison staff, hospitalized patients with respiratory symptoms and no alternative diagnosis, and residents of long-term care facilities and other vulnerable communities
Effective until:","Canada","Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0166.html","New Brunswick"
"1025","NB030",2020-03-31,2020-03-31,NA,"Restriction and Regulation of Government Services",NA,"Who: New Brunswick College of Pharmacists
What: Modified registration requirements for pharmacist and pharmacy technicians not entitled to practise direct client care through Conditional: Emergency Registration on an expedited basis and at no cost
Effective until:","Canada","New Brunswick College of Pharmacists","Provincial","Provincial","https://nbcp.in1touch.org/document/5346/COVID-19%20Emergency%20Registration%20and%20Licensure%20Phase%20I%20Web%20page%20comm%20March23%20EN.pdf

","New Brunswick"
"1026","NB032",2020-04-01,2020-04-02,"2020-04-16","Declaration of Emergency",NA,"Who: Government of New Brunswick
What: Extended the provincial state of emergency 
Effective until: 2020-04-16","Canada","Government of New Brunswick","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0173.html","New Brunswick"
"1027","NB033",2020-04-02,2020-04-02,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below), Secondary Schools (generally for children ages 10 to 18), Higher education institutions (i.e. degree granting institutions)","Who: Department of Education and Early Childhood Development
What: Announced that K–12 schools will not reopen for the remainder of the school year unless the COVID-19 situation drastically improves
Effective until:","Canada","Department of Education and Early Childhood Development","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0176.html","New Brunswick"
"1028","NB035",2020-04-09,2020-04-09,NA,"Public Awareness Measures",NA,"Who: Department of Health
What: Released projections for cases and critical care capacity
Effective until:","Canada","Department of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0195.html, https://www2.gnb.ca/content/dam/gnb/Departments/h-s/pdf/Modelling.pdf","New Brunswick"
"1029","NB036",2020-04-13,2020-04-13,NA,"Health Testing",NA,"Who: Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health
What: Updated testing criteria to now include people exhibiting at least 2 of the following 5 symptoms: fever above 38°C; a new cough or worsening chronic cough; sore throat; runny nose; and headache
Effective until:","Canada","Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0202.html","New Brunswick"
"1030","NB037",2020-04-14,2020-04-14,NA,"Health Resources","Unspecified Health Materials","Who: Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health
What: Process created for public and private businesses to donate personal protective equipment
Effective until:","Canada","Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0204.html","New Brunswick"
"1031","NB038",2020-04-16,2020-04-16,"2020-04-24","Declaration of Emergency",NA,"Who: Government of New Brunswick 
What: Extended the provincial state of emergency 
Effective until: 2020-04-24","Canada","Government of New Brunswick","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0209.html","New Brunswick"
"1032","NB039-business",2020-04-16,2020-04-16,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health
What: Gardening and agricultural retailers to reopen — deemed essential to food supply
Effective until:","Canada","Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0209.html","New Brunswick"
"1033","NB040-health_res",2020-03-16,2020-03-16,NA,"Health Resources or Restriction and Regulation of Businesses",NA,"Who: New Brunswick Dental Society 
What: Advised that all non-essential/non-emergency dental treatment and services should be suspended.
Effective until:","Canada","New Brunswick Dental Society","Provincial","Provincial","https://www.nbdent.ca/","New Brunswick"
"1034","NB041",2020-03-01,NA,NA,"Public Awareness Measures","Disseminating information related to COVID-19 to the public that is reliable and factually accurate","Who: Office of the Premier
What: Launched a dedicated government web page for COVID-19
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0079.html","New Brunswick"
"1035","NB042",2020-03-17,NA,NA,"Health Resources",NA,"Who: Government of New Brunswick, Chief Medical Officer of Health
What: Authorized physicians including psychiatrists to provide virtual services such as prescription renewals and follow-up care 
Effective until:","Canada","Government of New Brunswick, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0132.html","New Brunswick"
"1036","NB044",NA,NA,NA,"Restriction and Regulation of Government Services",NA,"Who: Association of New Brunswick Licensed Practical Nurses
What: Waived or modified registration requirements for former LPNs, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost. Licence valid for 4 months.
Effective until:","Canada","Association of New Brunswick Licensed Practical Nurses","Provincial","Provincial","https://www.anblpn.ca/covid-19/Temp_License.pdf","New Brunswick"
"1037","NB045",NA,NA,NA,"Restriction and Regulation of Government Services",NA,"Who: College of Physicians and Surgeons of New Brunswick 
What: Granted an unrestricted licence to physicians who have completed their training and have the LMCC, not requiring supervision and not time limited. These physicians will access a Regular Licence when they eventually become certified. 
Effective until:","Canada","College of Physicians and Surgeons of New Brunswick","Provincial","Provincial","https://cpsnb.org/en/component/edocman/effect-of-delayed-national-examination-on-applicants-for-licensure/viewdocument","New Brunswick"
"1038","NB046",NA,NA,NA,"Restriction and Regulation of Government Services",NA,"Who: Nurses Association of New Brunswick 
What: Waived or modified registration requirements for former registered nurses and nurse practitioners, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost 
Effective until:","Canada","Nurses Association of New Brunswick","Provincial","Provincial","http://www.nanb.nb.ca/registration/information, http://www.nanb.nb.ca/news/entry/coronavirus","New Brunswick"
"1039","NB047",NA,NA,NA,NA,NA,"Who: Department of Health
What: Links to interim national case definition
Effective until:","Canada","Department of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html","New Brunswick"
"1040","NB048",NA,NA,NA,"Health Testing",NA,"Who: Department of Health
What: Published testing criteria for individuals who are experiencing mild to moderate symptoms and are directed to the assessment centres by Tele-Care 811
Effective until:","Canada","Department of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html","New Brunswick"
"1041","NB049",NA,NA,NA,"Quarantine",NA,"Who: Office of the Chief Medical Officer of Health
What: Published recommendation on self-isolating: have no symptoms and may have been exposed to COVID-19 as a result of travelling outside of Canada within the last 14 days or coming in close contact with someone diagnosed with COVID-19
Effective until:","Canada","Office of the Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus/self-isolation-vs-self-monitor.html","New Brunswick"
"1042","NB050",2020-03-26,2020-03-26,"2020-04-02","Declaration of Emergency",NA,"Who: Government of New Brunswick 
What: Extended the provincial state of emergency 
Effective until: 2020-04-02","Canada","Government of New Brunswick","Provincial","Provincial","https://www2.gnb.ca/content/dam/gnb/Corporate/pdf/EmergencyUrgence19.pdf","New Brunswick"
"1043","NB051",2020-04-21,2020-04-21,NA,NA,NA,"Who: Department of Health
What: Launched online portal for the public to easily access their COVID-19 lab test results 
Effective until:","Canada","Department of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0220.html","New Brunswick"
"1044","NB052-business",2020-04-24,2020-04-26,NA,"Restriction and Regulation of Businesses",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Released 4-stage recovery plan to loosen public health restrictions, with some measures effective immediately
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0226.html, https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/phphases-e.pdf","New Brunswick"
"1045","NB053",2020-04-25,2020-04-24,NA,"Social Distancing",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Recommendation to wear non-medical masks when physical distancing may not be possible
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0229.html, https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0229.html","New Brunswick"
"1046","NB054-mass_gatherings",2020-04-24,2020-04-24,"2020-12-31","Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Extended prohibition on large gatherings such as festivals and concerts
Effective until: 2020-12-31","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0226.html, https://www2.gnb.ca/content/dam/gnb/Corporate/pdf/EmergencyUrgence19.pdf","New Brunswick"
"1047","NB055-mass_gatherings",2020-04-24,2020-04-24,NA,"Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Permitted households to spend time with 1 other household, forming a 2-household bubble. Selection is not interchangeable. Carpooling permitted as long as the passenger is in the back seat and can maintain distancing.
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0226.html","New Brunswick"
"1048","NB056",2020-04-24,2020-04-24,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below), Secondary Schools (generally for children ages 10 to 18), Higher education institutions (i.e. degree granting institutions)","Who: Office of the Premier, Chief Medical Officer of Health
What: Students requiring access to campus to fulfill their course requirements will be able to do so.
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0226.html","New Brunswick"
"1049","NB057-business",2020-04-24,2020-04-24,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Golf courses and driving ranges, recreational fishing and hunting, and outdoor spaces to reopen as long as physical distancing measures in place. Playgrounds continue to be closed. Outdoor religious services permitted as long as attendees stay in vehicles 2 metres apart.
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0226.html","New Brunswick"
"1050","NB058",2020-04-28,2020-04-28,NA,"Health Testing",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Expanded testing criteria to include those with a new onset of fatigue; a new onset of muscle pain; diarrhea; loss of sense of taste or loss of sense of smell; and in children, purple markings on the fingers or toes
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0235.html","New Brunswick"
"1051","NB059-external_border",2020-04-28,2020-04-28,NA,"External Border Restrictions or Internal Border Restrictions",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Restricted new temporary foreign workers from entering New Brunswick
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0235.html","New Brunswick"
"1052","NB060",2020-04-28,2020-04-28,NA,"Quarantine",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Post-secondary students returning to other provinces are permitted to enter and retrieve belongings for 24 hours. Anyone staying more than 24 hours is expected to self-isolate for 14 days.
Effective until:","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0235.html","New Brunswick"
"1053","NB062",2020-04-30,2020-04-30,"2020-05-14","Declaration of Emergency",NA,"Who: Office of the Premier, Chief Medical Officer of Health
What: Extended the provincial state of emergency
Effective until: 2020-05-14","Canada","Office of the Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0240.html","New Brunswick"
"1054","NB063",2020-04-29,2020-04-29,NA,"Health Resources","Other Health Infrastructure","Who: New Brunswick Chiropractors Association
What: Implemented Permanent Telehealth Standard permitting practice via telehealth, including consultations and follow-ups. Registrants must inform the New Brunswick Chiropractors Association prior to beginning telehealth services.
Effective until:","Canada","New Brunswick Chiropractors Association","Provincial","Provincial","https://www.nbchiropractic.ca/assets/Uploads/Permanent-Telehealth-Standard-29-April-2020.pdf","New Brunswick"
"1055","NB064",2020-04-24,2020-04-24,NA,"Public Awareness Measures",NA,"Who: New Brunswick Chiropractors Association
What: Published list of ""strong recommendations"" (decontamination of offices, etc.). Recommendations are best practices, and all chiropractors are strongly urged to adopt these new public health measures.
Effective until:","Canada","New Brunswick Chiropractors Association","Provincial","Provincial","https://www.nbchiropractic.ca/assets/Uploads/NBCA-Return-to-Practice-Recommendations-24-April-2021.pdf","New Brunswick"
"1056","NB065",2020-05-01,2020-05-01,NA,"Public Awareness Measures",NA,"Who: New Brunswick Chiropractors Association
What: Updated the 2020-04-24 return to practice recommendations
Effective until:","Canada","New Brunswick Chiropractors Association","Provincial","Provincial","https://www.nbchiropractic.ca/assets/Uploads/NBCA-Return-to-Practice-Operational-Plan-and-Recommendations-1-May-2020.pdf","New Brunswick"
"1057","NB066",2020-04-20,2020-04-20,NA,"Health Resources","Other Health Infrastructure","Who: New Brunswick Association of Dietitians 
What: Announced that Zoom for Healthcare video conferencing platform available free of charge for 1 year to dietitians to support delivery of remote dietetic services. Zoom will be available for 1 year from date of activation.
Effective until:","Canada","New Brunswick Association of Dietitians","Provincial","Provincial","http://www.adnb-nbad.com/wp-content/uploads/2020/04/20April2020-COVIDMessageMembershipBilingual.pdf","New Brunswick"
"1058","NB067",NA,NA,NA,"Public Awareness Measures",NA,"Who: College of Physiotherapists of New Brunswick
What: Published return-to-practice guidelines for physiotherapists in the private sector. These will be adapted as the situation in New Brunswick changes. 
Effective until:","Canada","College of Physiotherapists of New Brunswick","Provincial","Provincial","http://cptnb.ca/wp-content/uploads/Resuming-Clinical-Practice-Reprise-des-activit%C3%A9s-cliniques.pdf","New Brunswick"
"1059","NB068",NA,NA,NA,"Health Resources","Other Health Infrastructure","Who: New Brunswick Association of Social Workers 
What: Published guidance on providing telecare and recommends following Office of the Chief Medical Officer of Health measures for in-person appointments
Effective until:","Canada","New Brunswick Association of Social Workers","Provincial","Provincial","https://www.nbasw-atsnb.ca/assets/Uploads/Letter-of-Guidance-Technology-and-Social-Work-Practice-EN.pdf, https://www.nbasw-atsnb.ca/assets/Uploads/Standards-for-the-use-of-technology-ENG.pdf","New Brunswick"
"1060","NB069",2020-03-18,2020-03-18,NA,"Health Resources",NA,"Who: Government of New Brunswick, Office of the Chief Medical Officer of Health 
What: Pharmacists may use their judgment and the options available to them to reduce non-essential physician visits, including those for prescription renewals. Pharmacists should not hesitate to provide emergency fills, particularly in the case of expired prescriptions that would otherwise require a prescriber visit.
Effective until:","Canada","Government of New Brunswick, Office of the Chief Medical Officer of Health","Provincial","Provincial","https://nbcp.in1touch.org/document/5329/Guidance%20for%20Community%20Pharmacies%20Final%20ENGLISH%20March%2018.pdf","New Brunswick"
"1061","NB070",2020-04-14,2020-04-14,NA,"Public Awareness Measures",NA,"Who: Government of New Brunswick, Office of the Chief Medical Officer of Health 
What: Prohibited staff working in long-term care/residential facilities from working in different facilities; facilities initiated active screening of employees at entry of the facility; essential visitors/staff in nursing homes to be provided 2 surgical masks per shift
Effective until:","Canada","Government of New Brunswick, Office of the Chief Medical Officer of Health","Provincial","Provincial","https://www2.gnb.ca/content/dam/gnb/Departments/h-s/pdf/LTCF-E.pdf","New Brunswick"
"1062","NB071-external_border",2020-03-25,2020-03-25,NA,"External Border Restrictions or Internal Border Restrictions",NA,"Who: Office of the Premier
What: All unnecessary travel into N.B. is prohibited, and peace officers are authorized to turn such travellers away.
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.03.0155.html","New Brunswick"
"1063","NB072-mass_gatherings",2020-04-02,2020-04-02,NA,"Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Government of New Brunswick
What: All social gatherings prohibited
Effective until:","Canada","Government of New Brunswick","Provincial","Provincial","https://web.archive.org/web/20200407083553/https://www2.gnb.ca/content/dam/gnb/Corporate/pdf/EmergencyUrgence19.pdf","New Brunswick"
"1064","NB073-mass_gatherings",2020-05-08,2020-05-08,NA,"Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Office of the Premier
What: Increased the limit on indoor and outdoor gatherings to 10 people or fewer
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0261.html","New Brunswick"
"1065","NB074",2020-05-08,2020-05-08,NA,"Health Resources","Other Health Infrastructure","Who: Office of the Premier
What: Announced resumption of elective surgeries
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0261.html","New Brunswick"
"1066","NB075-health_res",2020-05-08,2020-05-08,NA,"Health Resources or Restriction and Regulation of Businesses",NA,"Who: Office of the Premier
What: Permitted regulated health professionals to offer non-emergency services, in compliance with additional guidance from their respective regulatory bodies
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0261.html, https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/recovery.html","New Brunswick"
"1067","NB076",2020-05-08,2020-05-08,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below), Secondary Schools (generally for children ages 10 to 18), Higher education institutions (i.e. degree granting institutions)","Who: Office of the Premier
What: Opened post-secondary institutions, recommending virtual options where possible
Effective until:","Canada","Office of the Premier","Provincial","Provincial","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0261.html","New Brunswick"
